"oid" ,"typname"                              ,"typnamespace" ,"typowner" ,"typlen" ,"typbyval" ,"typtype" ,"typcategory" ,"typispreferred" ,"typisdefined" ,"typdelim" ,"typrelid" ,"typsubscript"              ,"typelem" ,"typarray" ,"typinput"                   ,"typoutput"                   ,"typreceive"                   ,"typsend"                      ,"typmodin"          ,"typmodout"          ,"typanalyze"          ,"typalign" ,"typstorage" ,"typnotnull" ,"typbasetype" ,"typtypmod" ,"typndims" ,"typcollation" ,"typdefaultbin"                                             ,"typdefault"         ,"typacl"
   29 ,cid                                    ,            11 ,        10 ,4        ,true       ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1012 ,cidin                        ,cidout                        ,cidrecv                        ,cidsend                        ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   30 ,oidvector                              ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,       26 ,      1013 ,oidvectorin                  ,oidvectorout                  ,oidvectorrecv                  ,oidvectorsend                  ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   71 ,pg_type                                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      1247 ,-                           ,        0 ,       210 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   75 ,pg_attribute                           ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      1249 ,-                           ,        0 ,       270 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   81 ,pg_proc                                ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      1255 ,-                           ,        0 ,       272 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   83 ,pg_class                               ,            11 ,        10 ,-1       ,false      ,c         ,C             ,false            ,true           ,","        ,      1259 ,-                           ,        0 ,       273 ,record_in                    ,record_out                    ,record_recv                    ,record_send                    ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  114 ,json                                   ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       199 ,json_in                      ,json_out                      ,json_recv                      ,json_send                      ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  142 ,xml                                    ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       143 ,xml_in                       ,xml_out                       ,xml_recv                       ,xml_send                       ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  194 ,pg_node_tree                           ,            11 ,        10 ,-1       ,false      ,b         ,Z             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,pg_node_tree_in              ,pg_node_tree_out              ,pg_node_tree_recv              ,pg_node_tree_send              ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
 3361 ,pg_ndistinct                           ,            11 ,        10 ,-1       ,false      ,b         ,Z             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,pg_ndistinct_in              ,pg_ndistinct_out              ,pg_ndistinct_recv              ,pg_ndistinct_send              ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
 3402 ,pg_dependencies                        ,            11 ,        10 ,-1       ,false      ,b         ,Z             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,pg_dependencies_in           ,pg_dependencies_out           ,pg_dependencies_recv           ,pg_dependencies_send           ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
 5017 ,pg_mcv_list                            ,            11 ,        10 ,-1       ,false      ,b         ,Z             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,pg_mcv_list_in               ,pg_mcv_list_out               ,pg_mcv_list_recv               ,pg_mcv_list_send               ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
   32 ,pg_ddl_command                         ,            11 ,        10 ,8        ,true       ,p         ,P             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,pg_ddl_command_in            ,pg_ddl_command_out            ,pg_ddl_command_recv            ,pg_ddl_command_send            ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 5069 ,xid8                                   ,            11 ,        10 ,8        ,true       ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       271 ,xid8in                       ,xid8out                       ,xid8recv                       ,xid8send                       ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  600 ,point                                  ,            11 ,        10 ,16       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,raw_array_subscript_handler ,      701 ,      1017 ,point_in                     ,point_out                     ,point_recv                     ,point_send                     ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  601 ,lseg                                   ,            11 ,        10 ,32       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,raw_array_subscript_handler ,      600 ,      1018 ,lseg_in                      ,lseg_out                      ,lseg_recv                      ,lseg_send                      ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  602 ,path                                   ,            11 ,        10 ,-1       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1019 ,path_in                      ,path_out                      ,path_recv                      ,path_send                      ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  603 ,box                                    ,            11 ,        10 ,32       ,false      ,b         ,G             ,false            ,true           ,;          ,         0 ,raw_array_subscript_handler ,      600 ,      1020 ,box_in                       ,box_out                       ,box_recv                       ,box_send                       ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  604 ,polygon                                ,            11 ,        10 ,-1       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1027 ,poly_in                      ,poly_out                      ,poly_recv                      ,poly_send                      ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  628 ,line                                   ,            11 ,        10 ,24       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,raw_array_subscript_handler ,      701 ,       629 ,line_in                      ,line_out                      ,line_recv                      ,line_send                      ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  700 ,float4                                 ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1021 ,float4in                     ,float4out                     ,float4recv                     ,float4send                     ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  701 ,float8                                 ,            11 ,        10 ,8        ,true       ,b         ,N             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1022 ,float8in                     ,float8out                     ,float8recv                     ,float8send                     ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  705 ,unknown                                ,            11 ,        10 ,-2       ,false      ,p         ,X             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,         0 ,unknownin                    ,unknownout                    ,unknownrecv                    ,unknownsend                    ,-                   ,-                    ,-                     ,c          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  718 ,circle                                 ,            11 ,        10 ,24       ,false      ,b         ,G             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       719 ,circle_in                    ,circle_out                    ,circle_recv                    ,circle_send                    ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  790 ,money                                  ,            11 ,        10 ,8        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       791 ,cash_in                      ,cash_out                      ,cash_recv                      ,cash_send                      ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  829 ,macaddr                                ,            11 ,        10 ,6        ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1040 ,macaddr_in                   ,macaddr_out                   ,macaddr_recv                   ,macaddr_send                   ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  869 ,inet                                   ,            11 ,        10 ,-1       ,false      ,b         ,I             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1041 ,inet_in                      ,inet_out                      ,inet_recv                      ,inet_send                      ,-                   ,-                    ,-                     ,i          ,m            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  650 ,cidr                                   ,            11 ,        10 ,-1       ,false      ,b         ,I             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       651 ,cidr_in                      ,cidr_out                      ,cidr_recv                      ,cidr_send                      ,-                   ,-                    ,-                     ,i          ,m            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
  774 ,macaddr8                               ,            11 ,        10 ,8        ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,       775 ,macaddr8_in                  ,macaddr8_out                  ,macaddr8_recv                  ,macaddr8_send                  ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1033 ,aclitem                                ,            11 ,        10 ,12       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1034 ,aclitemin                    ,aclitemout                    ,-                              ,-                              ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1042 ,bpchar                                 ,            11 ,        10 ,-1       ,false      ,b         ,S             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1014 ,bpcharin                     ,bpcharout                     ,bpcharrecv                     ,bpcharsend                     ,bpchartypmodin      ,bpchartypmodout      ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
 1043 ,varchar                                ,            11 ,        10 ,-1       ,false      ,b         ,S             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1015 ,varcharin                    ,varcharout                    ,varcharrecv                    ,varcharsend                    ,varchartypmodin     ,varchartypmodout     ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
 1082 ,date                                   ,            11 ,        10 ,4        ,true       ,b         ,D             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1182 ,date_in                      ,date_out                      ,date_recv                      ,date_send                      ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1083 ,time                                   ,            11 ,        10 ,8        ,true       ,b         ,D             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1183 ,time_in                      ,time_out                      ,time_recv                      ,time_send                      ,timetypmodin        ,timetypmodout        ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1114 ,timestamp                              ,            11 ,        10 ,8        ,true       ,b         ,D             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1115 ,timestamp_in                 ,timestamp_out                 ,timestamp_recv                 ,timestamp_send                 ,timestamptypmodin   ,timestamptypmodout   ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1184 ,timestamptz                            ,            11 ,        10 ,8        ,true       ,b         ,D             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1185 ,timestamptz_in               ,timestamptz_out               ,timestamptz_recv               ,timestamptz_send               ,timestamptztypmodin ,timestamptztypmodout ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1186 ,interval                               ,            11 ,        10 ,16       ,false      ,b         ,T             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1187 ,interval_in                  ,interval_out                  ,interval_recv                  ,interval_send                  ,intervaltypmodin    ,intervaltypmodout    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1266 ,timetz                                 ,            11 ,        10 ,12       ,false      ,b         ,D             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1270 ,timetz_in                    ,timetz_out                    ,timetz_recv                    ,timetz_send                    ,timetztypmodin      ,timetztypmodout      ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1560 ,bit                                    ,            11 ,        10 ,-1       ,false      ,b         ,V             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1561 ,bit_in                       ,bit_out                       ,bit_recv                       ,bit_send                       ,bittypmodin         ,bittypmodout         ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1562 ,varbit                                 ,            11 ,        10 ,-1       ,false      ,b         ,V             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1563 ,varbit_in                    ,varbit_out                    ,varbit_recv                    ,varbit_send                    ,varbittypmodin      ,varbittypmodout      ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1700 ,numeric                                ,            11 ,        10 ,-1       ,false      ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1231 ,numeric_in                   ,numeric_out                   ,numeric_recv                   ,numeric_send                   ,numerictypmodin     ,numerictypmodout     ,-                     ,i          ,m            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 1790 ,refcursor                              ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2201 ,textin                       ,textout                       ,textrecv                       ,textsend                       ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2202 ,regprocedure                           ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2207 ,regprocedurein               ,regprocedureout               ,regprocedurerecv               ,regproceduresend               ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2203 ,regoper                                ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2208 ,regoperin                    ,regoperout                    ,regoperrecv                    ,regopersend                    ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2204 ,regoperator                            ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2209 ,regoperatorin                ,regoperatorout                ,regoperatorrecv                ,regoperatorsend                ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2205 ,regclass                               ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2210 ,regclassin                   ,regclassout                   ,regclassrecv                   ,regclasssend                   ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4191 ,regcollation                           ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      4192 ,regcollationin               ,regcollationout               ,regcollationrecv               ,regcollationsend               ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2206 ,regtype                                ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2211 ,regtypein                    ,regtypeout                    ,regtyperecv                    ,regtypesend                    ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4096 ,regrole                                ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      4097 ,regrolein                    ,regroleout                    ,regrolerecv                    ,regrolesend                    ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4089 ,regnamespace                           ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      4090 ,regnamespacein               ,regnamespaceout               ,regnamespacerecv               ,regnamespacesend               ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2950 ,uuid                                   ,            11 ,        10 ,16       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2951 ,uuid_in                      ,uuid_out                      ,uuid_recv                      ,uuid_send                      ,-                   ,-                    ,-                     ,c          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3220 ,pg_lsn                                 ,            11 ,        10 ,8        ,true       ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3221 ,pg_lsn_in                    ,pg_lsn_out                    ,pg_lsn_recv                    ,pg_lsn_send                    ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3614 ,tsvector                               ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3643 ,tsvectorin                   ,tsvectorout                   ,tsvectorrecv                   ,tsvectorsend                   ,-                   ,-                    ,ts_typanalyze         ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3642 ,gtsvector                              ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3644 ,gtsvectorin                  ,gtsvectorout                  ,-                              ,-                              ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3615 ,tsquery                                ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3645 ,tsqueryin                    ,tsqueryout                    ,tsqueryrecv                    ,tsquerysend                    ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3734 ,regconfig                              ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3735 ,regconfigin                  ,regconfigout                  ,regconfigrecv                  ,regconfigsend                  ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3769 ,regdictionary                          ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      3770 ,regdictionaryin              ,regdictionaryout              ,regdictionaryrecv              ,regdictionarysend              ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 3802 ,jsonb                                  ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,jsonb_subscript_handler     ,        0 ,      3807 ,jsonb_in                     ,jsonb_out                     ,jsonb_recv                     ,jsonb_send                     ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 4072 ,jsonpath                               ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      4073 ,jsonpath_in                  ,jsonpath_out                  ,jsonpath_recv                  ,jsonpath_send                  ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 2970 ,txid_snapshot                          ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      2949 ,txid_snapshot_in             ,txid_snapshot_out             ,txid_snapshot_recv             ,txid_snapshot_send             ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
 5038 ,pg_snapshot                            ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      5039 ,pg_snapshot_in               ,pg_snapshot_out               ,pg_snapshot_recv               ,pg_snapshot_send               ,-                   ,-                    ,-                     ,d          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
